,ncratio,nspeed
1054,-0.3036276801830437,-0.5995123218484251
1057,-0.3531137976051888,-0.8895115964801273
1058,-0.2577465117121807,-0.16843231901751632
1061,-0.35639102392453614,-0.6204131704705297
1062,-0.3137870817730205,-0.7301426257365792
1065,-0.35245835234131934,-0.8607729296247334
1069,-0.3560633012926014,-0.7118543831922376
1070,-0.30821579703012997,-0.6700526859480282
1073,-0.3554078560287319,-0.8268090506138133
1074,-0.2662673001424838,-0.24681050135040883
1077,-0.3531137976051888,-0.8111334141472348
1078,-0.2606960153995933,-0.19455837979514715
1081,-0.3560633012926014,-0.659602261636976
1085,-0.34918112602197193,-0.850322505313681
1086,-0.24922572328187756,-0.14753147039541165
1089,-0.3154256949326942,-0.7118543831922376
1090,0.06964839759062023,1.568950722694934
1093,-0.3229633154671931,-0.7066291710367114
1094,0.0008266448843257631,1.3076901149186257
1097,-0.3177197533562373,-0.5733862610707943
1098,-0.0971624220641602,0.7956193236770613
1101,-0.31345935914108575,-0.5786114732263203
1102,-0.11780894787604858,0.7250789595774582
1105,-0.3481979581261677,-0.9051872329467058
1106,-0.2367722632683576,-0.014288560429494414
1109,-0.3560633012926014,-0.7510434743586839
1110,-0.3213247023075194,-0.7693317169030255
1113,-0.3547524107648624,-0.7614938986697362
1114,-0.3118207459814121,-0.6778905041813176
1118,-0.2993672859678921,-0.5446475942154003
1121,-0.35245835234131934,-0.8868989904023642
1122,-0.2849474901627638,-0.3905038356273784
1125,-0.35639102392453614,-0.5864492914596097
1126,-0.3187029212520415,-0.7196922014255269
1129,-0.35245835234131934,-0.7902325655251301
1133,-0.35639102392453614,-0.6099627461594774
1134,-0.31903064388397623,-0.7536560804364469
1137,-0.3560633012926014,-0.7144669892700007
1138,-0.28756927121824166,-0.42708032071606156
1141,-0.35508013339679717,-0.8085208080694717
1142,-0.27773759226019956,-0.3565399566164583
1145,-0.35639102392453614,-0.6151879583150035
1149,-0.35278607497325404,-0.8032955959139455
1150,-0.2937960012250016,-0.5263593516710587
1153,-0.30821579703012997,-0.6256383826260559
1154,0.13519292397756738,1.7518331481383498
1157,-0.3203415344117152,-0.659602261636976
1158,-0.025391165670453113,1.1770598110304715
1161,-0.3265682644184752,-0.7144669892700007
1162,-0.10633865575833279,0.8609344756211385
1165,-0.319358366515911,-0.6674400798702652
1166,0.017212776481062547,1.4383204188067797
1169,-0.3485256807581025,-0.910412445102232
1170,-0.18105941583945256,0.34886368437957416
1173,-0.35639102392453614,-0.6987913528034222
1174,-0.3147702496688247,-0.7301426257365792
1177,-0.35508013339679717,-0.7092417771144746
1178,-0.3039554028149784,-0.6204131704705297
1182,-0.3029722349191742,-0.6047375340039512
1185,-0.35016429391777615,-0.9260880815688105
1186,-0.21415940166486086,0.12417956169194899
1189,-0.35639102392453614,-0.6778905041813176
1190,-0.30231678965530473,-0.5759988671485573
1193,-0.3534415202371235,-0.7667191108252623
1197,-0.35639102392453614,-0.662214867714739
1198,-0.31804747598817207,-0.7484308682809208
1201,-0.3547524107648624,-0.818971232380524
1205,-0.35147518444551507,-0.8868989904023642
1209,-0.35639102392453614,-0.6360888069371082
1213,-0.3534415202371235,-0.8581603235469702
1214,-0.267250468038288,-0.2886121985946182
1217,-0.32361876073106255,-0.7771695351363147
1218,-0.18466436479073461,0.3723771390794419
1221,-0.3239464833629973,-0.7432056561253946
1222,-0.16893367845786733,0.3567015026128634
1225,-0.32820687757814887,-0.7823947472918409
1226,-0.23054553326159763,-0.019513772585020583
1229,-0.319358366515911,-0.7275300196588161
1230,-0.15746338634015156,0.4507553214123344
1233,-0.3455761770706898,-0.9156376572577581
1234,-0.19777327006812406,0.249584653424577
1237,-0.3554078560287319,-0.7797821412140777
1238,-0.3147702496688247,-0.7092417771144746
1241,-0.3554078560287319,-0.7562686865142101
1242,-0.31116530071754256,-0.6517644434036867
1245,-0.3518029070774498,-0.9365385058798628
1246,-0.30461084807884786,-0.6125753522372405
1249,-0.3518029070774498,-0.913025051179995
1253,-0.35639102392453614,-0.6073501400817143
1254,-0.31247619124528153,-0.6883409284923698
1257,-0.3534415202371235,-0.7719443229807885
1261,-0.35639102392453614,-0.6073501400817143
1262,-0.3223078702033236,-0.7588812925919731
1265,-0.3560633012926014,-0.7588812925919731
1266,-0.27609897910052583,-0.34086432014987983
1269,-0.3518029070774498,-0.8947368086356534
1273,-0.35639102392453614,-0.6360888069371082
1277,-0.3521306297093845,-0.8294216566915764
1278,-0.28920788437791534,-0.4897828665823756
1281,-0.32755143231427936,-0.7928451716028933
1285,-0.3331227170571699,-0.816358626302761
1286,-0.24267127064318286,-0.1867205615618579
1297,-0.3459038997026246,-0.9731149909685459
1298,-0.29248511069726263,-0.5263593516710587
1301,-0.3557355786606667,-0.7588812925919731
1302,-0.3147702496688247,-0.7510434743586839
1313,-0.3547524107648624,-0.8633855357024964
1314,-0.3154256949326942,-0.7667191108252623
1317,-0.35376924286905825,-0.8581603235469702
1329,-0.34983657128584145,-0.9287006876465735
1333,-0.3481979581261677,-0.850322505313681
1345,-0.3229633154671931,-0.6752778981035544
1349,-0.324274205994932,-0.7040165649589484
1350,-0.19744554743618933,0.155530834625106
1361,-0.3422989507513425,-0.9339258998020997
1362,-0.28593065805856793,-0.4845576544268494
1365,-0.35508013339679717,-0.8215838384582871
1366,-0.31149302334947737,-0.72230480750329
1377,-0.3544246881329277,-0.8398720810026287
1378,-0.3105098554536731,-0.6961787467256592
1381,-0.3544246881329277,-0.8320342627693394
1393,-0.34655934496649404,-0.910412445102232
1397,-0.3495088486539067,-0.8659981417802596
1409,-0.3249296512588015,-0.6387014130148713
1413,-0.3226355928352584,-0.662214867714739
1414,-0.19416832111684196,0.23652162303576157
1418,-0.13485052473665482,0.6231873225446979
1425,-0.3419712281194078,-0.9156376572577581
1426,-0.29281283332919744,-0.5132963212822433
1429,-0.3560633012926014,-0.7641065047474993
1430,-0.3200138117797805,-0.7797821412140777
1441,-0.35508013339679717,-0.816358626302761
1442,-0.31608114019656364,-0.7379804439698685
1445,-0.3547524107648624,-0.7876199594473671
1446,-0.292157388065328,-0.5577106246042157
1457,-0.3518029070774498,-0.8398720810026287
1461,-0.34754251286229826,-0.8712233539357858
1473,-0.32066925704364996,-0.6857283224146068
1474,-0.19515148901264617,0.16336865285839525
1477,-0.31345935914108575,-0.6961787467256592
1478,-0.11551488945250542,0.6780520501777226
1482,-0.20563861323455773,0.16336865285839525
1489,-0.34459300917488567,-0.9522141423464413
1490,-0.29609005964854473,-0.5603232306819788
1493,-0.3547524107648624,-0.8398720810026287
1494,-0.3150979723007594,-0.7432056561253946
1505,-0.35245835234131934,-0.8555477174692072
1506,-0.32099697967558466,-0.7719443229807885
1509,-0.35508013339679717,-0.7823947472918409
1521,-0.34918112602197193,-0.9156376572577581
1525,-0.3544246881329277,-0.8294216566915764
1537,-0.3544246881329277,-0.8607729296247334
1538,-0.26266235119120174,-0.41140468424948307
1541,-0.35639102392453614,-0.7510434743586839
1545,-0.35639102392453614,-0.7876199594473671
1549,-0.35639102392453614,-0.7510434743586839
